Self-contained mixed-variable MOO wrappers generated by generate_selfcontained_wrappers_MOO_mix.m
Variables follow a deterministic C/K/D/C/D/K cyclic pattern; heterogeneity applies only to C variables.
D values are nonuniform and sorted; K values are nonuniform embeddings with permuted labels.

baseline_1/ex005_mix.m    (source=ex005, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/DTLZ1_5_mix.m    (source=DTLZ1_5, n=7, m=5, C=3, D=2, K=2, kappa=10000)
progressive_1e6/DTLZ1_5_mix.m    (source=DTLZ1_5, n=7, m=5, C=3, D=2, K=2, kappa=1000000)
extreme_1e8/DTLZ1_5_mix.m    (source=DTLZ1_5, n=7, m=5, C=3, D=2, K=2, kappa=100000000)
sobol_oscillatory_1e6/DTLZ1_5_mix.m    (source=DTLZ1_5, n=7, m=5, C=3, D=2, K=2, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ1_5_mix.m    (source=DTLZ1_5, n=7, m=5, C=3, D=2, K=2, kappa=1000000)
spatial_thermal_9e4/DTLZ1_5_mix.m    (source=DTLZ1_5, n=7, m=5, C=3, D=2, K=2, kappa=90000)
halton_oscillatory_1e6/DTLZ1_5_mix.m    (source=DTLZ1_5, n=7, m=5, C=3, D=2, K=2, kappa=1000000)
baseline_1/DTLZ3_4_mix.m    (source=DTLZ3_4, n=12, m=4, C=4, D=4, K=4, kappa=1)
moderate_1e4/DTLZ3_4_mix.m    (source=DTLZ3_4, n=12, m=4, C=4, D=4, K=4, kappa=10000)
progressive_1e6/DTLZ3_4_mix.m    (source=DTLZ3_4, n=12, m=4, C=4, D=4, K=4, kappa=1000000)
extreme_1e8/DTLZ3_4_mix.m    (source=DTLZ3_4, n=12, m=4, C=4, D=4, K=4, kappa=100000000)
sobol_oscillatory_1e6/DTLZ3_4_mix.m    (source=DTLZ3_4, n=12, m=4, C=4, D=4, K=4, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ3_4_mix.m    (source=DTLZ3_4, n=12, m=4, C=4, D=4, K=4, kappa=1000000)
spatial_thermal_9e4/DTLZ3_4_mix.m    (source=DTLZ3_4, n=12, m=4, C=4, D=4, K=4, kappa=90000)
halton_oscillatory_1e6/DTLZ3_4_mix.m    (source=DTLZ3_4, n=12, m=4, C=4, D=4, K=4, kappa=1000000)
baseline_1/DTLZ3_5_mix.m    (source=DTLZ3_5, n=12, m=5, C=4, D=4, K=4, kappa=1)
moderate_1e4/DTLZ3_5_mix.m    (source=DTLZ3_5, n=12, m=5, C=4, D=4, K=4, kappa=10000)
progressive_1e6/DTLZ3_5_mix.m    (source=DTLZ3_5, n=12, m=5, C=4, D=4, K=4, kappa=1000000)
extreme_1e8/DTLZ3_5_mix.m    (source=DTLZ3_5, n=12, m=5, C=4, D=4, K=4, kappa=100000000)
sobol_oscillatory_1e6/DTLZ3_5_mix.m    (source=DTLZ3_5, n=12, m=5, C=4, D=4, K=4, kappa=1000000)
sobol_digit_oscillatory_1e6/DTLZ3_5_mix.m    (source=DTLZ3_5, n=12, m=5, C=4, D=4, K=4, kappa=1000000)
spatial_thermal_9e4/DTLZ3_5_mix.m    (source=DTLZ3_5, n=12, m=5, C=4, D=4, K=4, kappa=90000)
halton_oscillatory_1e6/DTLZ3_5_mix.m    (source=DTLZ3_5, n=12, m=5, C=4, D=4, K=4, kappa=1000000)
baseline_1/Kursawe_mix.m    (source=Kursawe, n=3, m=2, C=1, D=1, K=1, kappa=1)
moderate_1e4/Kursawe_mix.m    (source=Kursawe, n=3, m=2, C=1, D=1, K=1, kappa=10000)
progressive_1e6/Kursawe_mix.m    (source=Kursawe, n=3, m=2, C=1, D=1, K=1, kappa=1000000)
extreme_1e8/Kursawe_mix.m    (source=Kursawe, n=3, m=2, C=1, D=1, K=1, kappa=100000000)
sobol_oscillatory_1e6/Kursawe_mix.m    (source=Kursawe, n=3, m=2, C=1, D=1, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Kursawe_mix.m    (source=Kursawe, n=3, m=2, C=1, D=1, K=1, kappa=1000000)
spatial_thermal_9e4/Kursawe_mix.m    (source=Kursawe, n=3, m=2, C=1, D=1, K=1, kappa=90000)
halton_oscillatory_1e6/Kursawe_mix.m    (source=Kursawe, n=3, m=2, C=1, D=1, K=1, kappa=1000000)
baseline_1/Fonseca_mix.m    (source=Fonseca, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/Fonseca_mix.m    (source=Fonseca, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/Fonseca_mix.m    (source=Fonseca, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/Fonseca_mix.m    (source=Fonseca, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/Fonseca_mix.m    (source=Fonseca, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Fonseca_mix.m    (source=Fonseca, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/Fonseca_mix.m    (source=Fonseca, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/Fonseca_mix.m    (source=Fonseca, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/L2ZDT4_mix.m    (source=L2ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=1)
moderate_1e4/L2ZDT4_mix.m    (source=L2ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=10000)
progressive_1e6/L2ZDT4_mix.m    (source=L2ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
extreme_1e8/L2ZDT4_mix.m    (source=L2ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=100000000)
sobol_oscillatory_1e6/L2ZDT4_mix.m    (source=L2ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
sobol_digit_oscillatory_1e6/L2ZDT4_mix.m    (source=L2ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
spatial_thermal_9e4/L2ZDT4_mix.m    (source=L2ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=90000)
halton_oscillatory_1e6/L2ZDT4_mix.m    (source=L2ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
baseline_1/L2ZDT6_mix.m    (source=L2ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=1)
moderate_1e4/L2ZDT6_mix.m    (source=L2ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=10000)
progressive_1e6/L2ZDT6_mix.m    (source=L2ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
extreme_1e8/L2ZDT6_mix.m    (source=L2ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=100000000)
sobol_oscillatory_1e6/L2ZDT6_mix.m    (source=L2ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/L2ZDT6_mix.m    (source=L2ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
spatial_thermal_9e4/L2ZDT6_mix.m    (source=L2ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=90000)
halton_oscillatory_1e6/L2ZDT6_mix.m    (source=L2ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
baseline_1/L3ZDT1_mix.m    (source=L3ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=1)
moderate_1e4/L3ZDT1_mix.m    (source=L3ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=10000)
progressive_1e6/L3ZDT1_mix.m    (source=L3ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
extreme_1e8/L3ZDT1_mix.m    (source=L3ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=100000000)
sobol_oscillatory_1e6/L3ZDT1_mix.m    (source=L3ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
sobol_digit_oscillatory_1e6/L3ZDT1_mix.m    (source=L3ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
spatial_thermal_9e4/L3ZDT1_mix.m    (source=L3ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=90000)
halton_oscillatory_1e6/L3ZDT1_mix.m    (source=L3ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
baseline_1/L3ZDT2_mix.m    (source=L3ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=1)
moderate_1e4/L3ZDT2_mix.m    (source=L3ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=10000)
progressive_1e6/L3ZDT2_mix.m    (source=L3ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
extreme_1e8/L3ZDT2_mix.m    (source=L3ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=100000000)
sobol_oscillatory_1e6/L3ZDT2_mix.m    (source=L3ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
sobol_digit_oscillatory_1e6/L3ZDT2_mix.m    (source=L3ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
spatial_thermal_9e4/L3ZDT2_mix.m    (source=L3ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=90000)
halton_oscillatory_1e6/L3ZDT2_mix.m    (source=L3ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
baseline_1/L3ZDT3_mix.m    (source=L3ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=1)
moderate_1e4/L3ZDT3_mix.m    (source=L3ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=10000)
progressive_1e6/L3ZDT3_mix.m    (source=L3ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
extreme_1e8/L3ZDT3_mix.m    (source=L3ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=100000000)
sobol_oscillatory_1e6/L3ZDT3_mix.m    (source=L3ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
sobol_digit_oscillatory_1e6/L3ZDT3_mix.m    (source=L3ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
spatial_thermal_9e4/L3ZDT3_mix.m    (source=L3ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=90000)
halton_oscillatory_1e6/L3ZDT3_mix.m    (source=L3ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
baseline_1/L3ZDT4_mix.m    (source=L3ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=1)
moderate_1e4/L3ZDT4_mix.m    (source=L3ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=10000)
progressive_1e6/L3ZDT4_mix.m    (source=L3ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
extreme_1e8/L3ZDT4_mix.m    (source=L3ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=100000000)
sobol_oscillatory_1e6/L3ZDT4_mix.m    (source=L3ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
sobol_digit_oscillatory_1e6/L3ZDT4_mix.m    (source=L3ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
spatial_thermal_9e4/L3ZDT4_mix.m    (source=L3ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=90000)
halton_oscillatory_1e6/L3ZDT4_mix.m    (source=L3ZDT4, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
baseline_1/L3ZDT6_mix.m    (source=L3ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=1)
moderate_1e4/L3ZDT6_mix.m    (source=L3ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=10000)
progressive_1e6/L3ZDT6_mix.m    (source=L3ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
extreme_1e8/L3ZDT6_mix.m    (source=L3ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=100000000)
sobol_oscillatory_1e6/L3ZDT6_mix.m    (source=L3ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/L3ZDT6_mix.m    (source=L3ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
spatial_thermal_9e4/L3ZDT6_mix.m    (source=L3ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=90000)
halton_oscillatory_1e6/L3ZDT6_mix.m    (source=L3ZDT6, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
baseline_1/WFG1_mix.m    (source=WFG1, n=8, m=3, C=3, D=2, K=3, kappa=1)
moderate_1e4/WFG1_mix.m    (source=WFG1, n=8, m=3, C=3, D=2, K=3, kappa=10000)
progressive_1e6/WFG1_mix.m    (source=WFG1, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
extreme_1e8/WFG1_mix.m    (source=WFG1, n=8, m=3, C=3, D=2, K=3, kappa=100000000)
sobol_oscillatory_1e6/WFG1_mix.m    (source=WFG1, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/WFG1_mix.m    (source=WFG1, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
spatial_thermal_9e4/WFG1_mix.m    (source=WFG1, n=8, m=3, C=3, D=2, K=3, kappa=90000)
halton_oscillatory_1e6/WFG1_mix.m    (source=WFG1, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
baseline_1/WFG2_mix.m    (source=WFG2, n=8, m=3, C=3, D=2, K=3, kappa=1)
moderate_1e4/WFG2_mix.m    (source=WFG2, n=8, m=3, C=3, D=2, K=3, kappa=10000)
progressive_1e6/WFG2_mix.m    (source=WFG2, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
extreme_1e8/WFG2_mix.m    (source=WFG2, n=8, m=3, C=3, D=2, K=3, kappa=100000000)
sobol_oscillatory_1e6/WFG2_mix.m    (source=WFG2, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/WFG2_mix.m    (source=WFG2, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
spatial_thermal_9e4/WFG2_mix.m    (source=WFG2, n=8, m=3, C=3, D=2, K=3, kappa=90000)
halton_oscillatory_1e6/WFG2_mix.m    (source=WFG2, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
baseline_1/WFG3_mix.m    (source=WFG3, n=8, m=3, C=3, D=2, K=3, kappa=1)
moderate_1e4/WFG3_mix.m    (source=WFG3, n=8, m=3, C=3, D=2, K=3, kappa=10000)
progressive_1e6/WFG3_mix.m    (source=WFG3, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
extreme_1e8/WFG3_mix.m    (source=WFG3, n=8, m=3, C=3, D=2, K=3, kappa=100000000)
sobol_oscillatory_1e6/WFG3_mix.m    (source=WFG3, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/WFG3_mix.m    (source=WFG3, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
spatial_thermal_9e4/WFG3_mix.m    (source=WFG3, n=8, m=3, C=3, D=2, K=3, kappa=90000)
halton_oscillatory_1e6/WFG3_mix.m    (source=WFG3, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
baseline_1/WFG4_mix.m    (source=WFG4, n=8, m=3, C=3, D=2, K=3, kappa=1)
moderate_1e4/WFG4_mix.m    (source=WFG4, n=8, m=3, C=3, D=2, K=3, kappa=10000)
progressive_1e6/WFG4_mix.m    (source=WFG4, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
extreme_1e8/WFG4_mix.m    (source=WFG4, n=8, m=3, C=3, D=2, K=3, kappa=100000000)
sobol_oscillatory_1e6/WFG4_mix.m    (source=WFG4, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/WFG4_mix.m    (source=WFG4, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
spatial_thermal_9e4/WFG4_mix.m    (source=WFG4, n=8, m=3, C=3, D=2, K=3, kappa=90000)
halton_oscillatory_1e6/WFG4_mix.m    (source=WFG4, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
baseline_1/WFG5_mix.m    (source=WFG5, n=8, m=3, C=3, D=2, K=3, kappa=1)
moderate_1e4/WFG5_mix.m    (source=WFG5, n=8, m=3, C=3, D=2, K=3, kappa=10000)
progressive_1e6/WFG5_mix.m    (source=WFG5, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
extreme_1e8/WFG5_mix.m    (source=WFG5, n=8, m=3, C=3, D=2, K=3, kappa=100000000)
sobol_oscillatory_1e6/WFG5_mix.m    (source=WFG5, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/WFG5_mix.m    (source=WFG5, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
spatial_thermal_9e4/WFG5_mix.m    (source=WFG5, n=8, m=3, C=3, D=2, K=3, kappa=90000)
halton_oscillatory_1e6/WFG5_mix.m    (source=WFG5, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
baseline_1/WFG6_mix.m    (source=WFG6, n=8, m=3, C=3, D=2, K=3, kappa=1)
moderate_1e4/WFG6_mix.m    (source=WFG6, n=8, m=3, C=3, D=2, K=3, kappa=10000)
progressive_1e6/WFG6_mix.m    (source=WFG6, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
extreme_1e8/WFG6_mix.m    (source=WFG6, n=8, m=3, C=3, D=2, K=3, kappa=100000000)
sobol_oscillatory_1e6/WFG6_mix.m    (source=WFG6, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/WFG6_mix.m    (source=WFG6, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
spatial_thermal_9e4/WFG6_mix.m    (source=WFG6, n=8, m=3, C=3, D=2, K=3, kappa=90000)
halton_oscillatory_1e6/WFG6_mix.m    (source=WFG6, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
baseline_1/WFG7_mix.m    (source=WFG7, n=8, m=3, C=3, D=2, K=3, kappa=1)
moderate_1e4/WFG7_mix.m    (source=WFG7, n=8, m=3, C=3, D=2, K=3, kappa=10000)
progressive_1e6/WFG7_mix.m    (source=WFG7, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
extreme_1e8/WFG7_mix.m    (source=WFG7, n=8, m=3, C=3, D=2, K=3, kappa=100000000)
sobol_oscillatory_1e6/WFG7_mix.m    (source=WFG7, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/WFG7_mix.m    (source=WFG7, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
spatial_thermal_9e4/WFG7_mix.m    (source=WFG7, n=8, m=3, C=3, D=2, K=3, kappa=90000)
halton_oscillatory_1e6/WFG7_mix.m    (source=WFG7, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
baseline_1/WFG8_mix.m    (source=WFG8, n=8, m=3, C=3, D=2, K=3, kappa=1)
moderate_1e4/WFG8_mix.m    (source=WFG8, n=8, m=3, C=3, D=2, K=3, kappa=10000)
progressive_1e6/WFG8_mix.m    (source=WFG8, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
extreme_1e8/WFG8_mix.m    (source=WFG8, n=8, m=3, C=3, D=2, K=3, kappa=100000000)
sobol_oscillatory_1e6/WFG8_mix.m    (source=WFG8, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/WFG8_mix.m    (source=WFG8, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
spatial_thermal_9e4/WFG8_mix.m    (source=WFG8, n=8, m=3, C=3, D=2, K=3, kappa=90000)
halton_oscillatory_1e6/WFG8_mix.m    (source=WFG8, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
baseline_1/WFG9_mix.m    (source=WFG9, n=8, m=3, C=3, D=2, K=3, kappa=1)
moderate_1e4/WFG9_mix.m    (source=WFG9, n=8, m=3, C=3, D=2, K=3, kappa=10000)
progressive_1e6/WFG9_mix.m    (source=WFG9, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
extreme_1e8/WFG9_mix.m    (source=WFG9, n=8, m=3, C=3, D=2, K=3, kappa=100000000)
sobol_oscillatory_1e6/WFG9_mix.m    (source=WFG9, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/WFG9_mix.m    (source=WFG9, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
spatial_thermal_9e4/WFG9_mix.m    (source=WFG9, n=8, m=3, C=3, D=2, K=3, kappa=90000)
halton_oscillatory_1e6/WFG9_mix.m    (source=WFG9, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
baseline_1/I1_mix.m    (source=I1, n=8, m=3, C=3, D=2, K=3, kappa=1)
moderate_1e4/I1_mix.m    (source=I1, n=8, m=3, C=3, D=2, K=3, kappa=10000)
progressive_1e6/I1_mix.m    (source=I1, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
extreme_1e8/I1_mix.m    (source=I1, n=8, m=3, C=3, D=2, K=3, kappa=100000000)
sobol_oscillatory_1e6/I1_mix.m    (source=I1, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/I1_mix.m    (source=I1, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
spatial_thermal_9e4/I1_mix.m    (source=I1, n=8, m=3, C=3, D=2, K=3, kappa=90000)
halton_oscillatory_1e6/I1_mix.m    (source=I1, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
baseline_1/I2_mix.m    (source=I2, n=8, m=3, C=3, D=2, K=3, kappa=1)
moderate_1e4/I2_mix.m    (source=I2, n=8, m=3, C=3, D=2, K=3, kappa=10000)
progressive_1e6/I2_mix.m    (source=I2, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
extreme_1e8/I2_mix.m    (source=I2, n=8, m=3, C=3, D=2, K=3, kappa=100000000)
sobol_oscillatory_1e6/I2_mix.m    (source=I2, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/I2_mix.m    (source=I2, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
spatial_thermal_9e4/I2_mix.m    (source=I2, n=8, m=3, C=3, D=2, K=3, kappa=90000)
halton_oscillatory_1e6/I2_mix.m    (source=I2, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
baseline_1/I3_mix.m    (source=I3, n=8, m=3, C=3, D=2, K=3, kappa=1)
moderate_1e4/I3_mix.m    (source=I3, n=8, m=3, C=3, D=2, K=3, kappa=10000)
progressive_1e6/I3_mix.m    (source=I3, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
extreme_1e8/I3_mix.m    (source=I3, n=8, m=3, C=3, D=2, K=3, kappa=100000000)
sobol_oscillatory_1e6/I3_mix.m    (source=I3, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/I3_mix.m    (source=I3, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
spatial_thermal_9e4/I3_mix.m    (source=I3, n=8, m=3, C=3, D=2, K=3, kappa=90000)
halton_oscillatory_1e6/I3_mix.m    (source=I3, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
baseline_1/I4_mix.m    (source=I4, n=8, m=3, C=3, D=2, K=3, kappa=1)
moderate_1e4/I4_mix.m    (source=I4, n=8, m=3, C=3, D=2, K=3, kappa=10000)
progressive_1e6/I4_mix.m    (source=I4, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
extreme_1e8/I4_mix.m    (source=I4, n=8, m=3, C=3, D=2, K=3, kappa=100000000)
sobol_oscillatory_1e6/I4_mix.m    (source=I4, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/I4_mix.m    (source=I4, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
spatial_thermal_9e4/I4_mix.m    (source=I4, n=8, m=3, C=3, D=2, K=3, kappa=90000)
halton_oscillatory_1e6/I4_mix.m    (source=I4, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
baseline_1/I5_mix.m    (source=I5, n=8, m=3, C=3, D=2, K=3, kappa=1)
moderate_1e4/I5_mix.m    (source=I5, n=8, m=3, C=3, D=2, K=3, kappa=10000)
progressive_1e6/I5_mix.m    (source=I5, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
extreme_1e8/I5_mix.m    (source=I5, n=8, m=3, C=3, D=2, K=3, kappa=100000000)
sobol_oscillatory_1e6/I5_mix.m    (source=I5, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/I5_mix.m    (source=I5, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
spatial_thermal_9e4/I5_mix.m    (source=I5, n=8, m=3, C=3, D=2, K=3, kappa=90000)
halton_oscillatory_1e6/I5_mix.m    (source=I5, n=8, m=3, C=3, D=2, K=3, kappa=1000000)
baseline_1/MOP1_mix.m    (source=MOP1, n=1, m=2, C=1, D=0, K=0, kappa=1)
moderate_1e4/MOP1_mix.m    (source=MOP1, n=1, m=2, C=1, D=0, K=0, kappa=10000)
progressive_1e6/MOP1_mix.m    (source=MOP1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
extreme_1e8/MOP1_mix.m    (source=MOP1, n=1, m=2, C=1, D=0, K=0, kappa=100000000)
sobol_oscillatory_1e6/MOP1_mix.m    (source=MOP1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
sobol_digit_oscillatory_1e6/MOP1_mix.m    (source=MOP1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
spatial_thermal_9e4/MOP1_mix.m    (source=MOP1, n=1, m=2, C=1, D=0, K=0, kappa=90000)
halton_oscillatory_1e6/MOP1_mix.m    (source=MOP1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
baseline_1/MOP2_mix.m    (source=MOP2, n=4, m=2, C=2, D=1, K=1, kappa=1)
moderate_1e4/MOP2_mix.m    (source=MOP2, n=4, m=2, C=2, D=1, K=1, kappa=10000)
progressive_1e6/MOP2_mix.m    (source=MOP2, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
extreme_1e8/MOP2_mix.m    (source=MOP2, n=4, m=2, C=2, D=1, K=1, kappa=100000000)
sobol_oscillatory_1e6/MOP2_mix.m    (source=MOP2, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/MOP2_mix.m    (source=MOP2, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
spatial_thermal_9e4/MOP2_mix.m    (source=MOP2, n=4, m=2, C=2, D=1, K=1, kappa=90000)
halton_oscillatory_1e6/MOP2_mix.m    (source=MOP2, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
baseline_1/MOP3_mix.m    (source=MOP3, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/MOP3_mix.m    (source=MOP3, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/MOP3_mix.m    (source=MOP3, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/MOP3_mix.m    (source=MOP3, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/MOP3_mix.m    (source=MOP3, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/MOP3_mix.m    (source=MOP3, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/MOP3_mix.m    (source=MOP3, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/MOP3_mix.m    (source=MOP3, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/MOP4_mix.m    (source=MOP4, n=3, m=2, C=1, D=1, K=1, kappa=1)
moderate_1e4/MOP4_mix.m    (source=MOP4, n=3, m=2, C=1, D=1, K=1, kappa=10000)
progressive_1e6/MOP4_mix.m    (source=MOP4, n=3, m=2, C=1, D=1, K=1, kappa=1000000)
